feature,selection_score,model_importance
cat__Polydipsia_Yes,0.22886720112888947,0.23180634311525697
cat__Polyuria_Yes,0.2077784099630624,0.22992833334852647
cat__Gender_Male,0.14748263057212285,0.14518327955007418
num__Age,0.06564515447042796,0.10033255458534739
cat__sudden weight loss_Yes,0.09763988049991146,0.06940164397808425
cat__Alopecia_Yes,0.03139755042787806,0.04885811865894047
cat__partial paresis_Yes,0.06415088947782865,0.043379986867963724
cat__Itching_Yes,0.04104213842557081,0.03456422437059355
cat__Polyphagia_Yes,0.03983975396490691,0.032898332656670824
cat__weakness_Yes,0.06578492680846315,0.023934730557605415
cat__muscle stiffness_Yes,0.03368193650257845,0.020380466232459205
cat__Obesity_Yes,0.04513723792322155,0.01933198607847769
